0,113
113,27
27,114
114,26
26,113
113,199
199,112
112,191
191,109
109,190
190,107
107,188
188,108
108,191
191,107
107,192
192,105
105,188
188,106
106,190
190,110
110,196
196,111
111,199
199,120
120,32
32,145
145,33
33,146
146,34
34,148
148,36
36,149
149,37
37,150
150,65
65,151
151,68
68,154
154,67
67,153
153,65
65,152
152,68
68,155
155,67
67,150
150,66
66,154
154,69
69,183
183,71
71,184
184,70
70,182
182,69
69,181
181,68
68,156
156,70
70,185
185,99
99,186
186,74
74,187
187,103
103,190
190,102
102,187
187,107
107,193
193,105
105,187
187,73
73,185
185,97
97,184
184,69
69,150
150,36
36,151
151,63
63,150
150,33
33,147
147,32
32,144
144,31
31,117
117,30
30,118
118,32
32,146
146,31
31,147
147,35
35,149
149,32
32,116
116,30
30,115
115,32
32,150
150,64
64,152
152,69
69,157
157,37
37,160
160,72
72,185
185,71
71,186
186,98
98,184
184,96
96,8
8,132
132,13
13,136
136,23
23,111
111,189
189,108
108,196
196,109
109,188
188,103
103,191
191,110
110,197
197,109
109,193
193,110
110,195
195,107
107,194
194,110
110,23
23,135
135,22
22,110
110,188
188,100
100,185
185,69
69,153
153,66
66,149
149,34
34,147
147,30
30,114
114,28
28,113
113,25
25,112
112,27
27,115
115,28
28,140
140,27
27,111
111,190
190,108
108,193
193,106
106,191
191,111
111,186
186,72
72,187
187,75
75,154
154,70
70,183
183,68
68,149
149,65
65,182
182,68
68,153
153,34
34,122
122,35
35,148
148,33
33,117
117,29
29,141
141,26
26,112
112,188
188,76
76,192
192,104
104,186
186,70
70,151
151,69
69,156
156,36
36,159
159,71
71,187
187,99
99,11
11,93
93,12
12,137
137,25
25,141
141,22
22,143
143,31
31,145
145,27
27,139
139,17
17,100
100,186
186,73
73,189
189,101
101,185
185,68
68,180
180,67
67,151
151,64
64,149
149,61
61,181
181,64
64,178
178,59
59,147
147,29
29,114
114,33
33,121
121,36
36,116
116,29
29,113
113,1
1,85
85,3
3,128
128,48
48,171
171,49
49,168
168,45
45,165
165,43
43,162
162,40
40,159
159,81
81,198
198,112
112,32
32,151
151,38
38,150
150,62
62,148
148,31
31,118
118,33
33,113
113,192
192,111
111,188
188,102
102,189
189,109
109,184
184,72
72,153
153,78
78,155
155,70
70,158
158,38
38,159
159,37
37,154
154,35
35,120
120,33
33,116
116,39
39,151
151,66
66,143
143,30
30,144
144,67
67,184
184,112
112,185
185,67
67,149
149,33
33,112
112,187
187,108
108,123
123,35
35,157
157,79
79,197
197,123
123,45
45,130
130,6
6,91
91,170
170,54
54,176
176,57
57,140
140,63
63,149
149,69
69,155
155,35
35,115
115,29
29,111
111,193
193,74
74,154
154,33
33,119
119,31
31,113
113,32
32,117
117,133
133,50
50,172
172,45
45,131
131,14
14,97
97,9
9,95
95,15
15,90
90,167
167,44
44,160
160,36
36,161
161,83
83,1
1,82
82,196
196,78
78,197
197,121
121,187
187,172
172,93
93,169
169,90
90,170
170,89
89,161
161,82
82,2
2,88
88,0
0,112
112,24
24,39
39,162
162,49
49,133
133,11
11,130
130,18
18,86
86,32
32,84
84,159
159,47
47,125
125,108
108,195
195,83
83,66
66,139
139,124
124,142
142,60
60,175
175,55
55,180
180,112
112,186
186,103
103,32
32,47
47,164
164,46
46,124
124,65
65,126
126,0
0,122
122,55
55,136
136,16
16,88
88,8
8,133
133,63
63,78
78,15
15,93
93,167
167,187
187,119
119,104
104,184
184,47
47,173
173,42
42,125
125,3
3,88
88,18
18,71
71,34
34,70
70,157
157,85
85,19
19,132
132,52
52,165
165,41
41,22
